"start_time_new","start_time","stop_time_new","stop_time"
6.5,"6.30 am",21,"9.00 pm"
7,"7.00 am",21,"9.00 pm"
7,"7.00 am",23,"11.00 pm"
7,"7.00 am",23,"11.00 pm"
7,"7.00 am",20,"8.00 pm"
7,"7.00 am",21,"9.00 pm"
7,"7.00 am",22,"10.00 pm"
7,"7.00 am",20,"8.00 pm"
7,"7.00 am",20,"8.00 pm"
7,"7.00 am",20,"8.00 pm"
7,"7.00 am",20,"8.00 pm"
7,"7.00 am",20,"8.00 pm"
7.5,"7.30 am",20,"8.00 pm"
7,"7.00 am",20,"8.00 pm"
7,"7.00 am",20,"8.00 pm"
8.5,"8.30 am",23,"11 pm"
8.5,"8.30 am",23,"11.00 pm"
7.5,"7.30am",20,"8.00 pm"
6,"6.00 am",20,"8.00 pm"
6,"6.00 am",20,"8.00 pm"
6,"6.00am",20,"8.00 pm"
6,"6.00 am",23,"11 pm"
6,"6.00 am",20,"8.00 pm"
NA,"NA",NA,"NA"
NA,"NA",NA,"NA"
NA,"NA",NA,"NA"
NA,"NA",NA,"NA"
NA,"NA",NA,"NA"
NA,"NA",NA,"NA"
NA,"NA",NA,"NA"
NA,"NA",NA,"NA"
NA,"NA",NA,"NA"
NA,"NA",NA,"NA"
NA,"NA",NA,"NA"
NA,"NA",NA,"NA"
23.5,"11.30 p.m",8.5,"8.30 a.m"
23,"11 p.m",8,"8 a.m"
8,"8.00 am",22,"10.00 pm"
6.5,"6.30 am",22,"10.00 pm"
7.5,"7.30 am",21.5,"9.30 pm"
7,"7.00 am",21.5,"9.30 pm"
8.5,"8.30 am",21.5,"9.30 pm"
8.5,"8.30 am",21,"9.00pm"
8.5,"8.30 am",21.5,"9.30 pm"
7.5,"7.30 am",21.5,"9.30 pm"
7.5,"7.30 qm",21.5,"9.30 pm"
8.5,"8.30 am",21,"9.00 pm"
NA,"NA",NA,"NA"
NA,"NA",NA,"NA"
NA,"NA",NA,"NA"
8.5,"8.30 am",21.5,"9.30 pm"
8.5,"8.30 am",21.5,"9.30 pm"
23,"11.00 pm",8,"8.00 am"
22,"10.00 pm",9,"9.00 am"
22,"10.00 pm",8,"8.00 am"
0,"12.00 am",9,"9.00 am"
22,"10.00 pm",8,"8.00 am"
22,"10.00pm",8,"8.00 am"
5,"5.00 am",10,"10.00 am"
5.5,"5.30 am",8,"8.00 am"
5,"5.00 am",10,"10.00 am"
5,"5.00 am",11,"11.00 am"
5,"5.00 am",11,"11.00 am"
5,"5.00 am",22,"10.00 pm"
6,"6.00 am",23,"11.00 pm"
5,"5.00 am",10,"10.00 am"
5,"5.00 am",11,"11.00 am"
5,"5.00am",11,"11.00 am"
5,"5.00 am",11,"11.00 am"
5,"5.00am",11,"11.00 am"
21.5,"9.30 pm",7,"7.00 am"
22,"10.00pm",6,"6.00am"
21.5,"9.30pm",6,"6.00 am"
22,"10.00 pm",6.5,"6.30 am"
22,"10.00 pm",6,"6.00 am"
23,"11.00 pm",7,"7.00 am"
22,"10.00 pm",6,"6.00 am"
4,"4.00 am",10.5,"10.30 am"
0,"12.00 am",7,"7.00 am"
5,"5.00 am",11,"11.00 am"
22,"10.00 pm",11,"11.00 am"
4,"4.00 am",9,"9.00 am"
0,"12.00 am",8,"8.00 am"
1,"1.00 am",8.5,"8.30 am"
0,"12.00 am",8,"8.00 am"
6.5,"6.30 am",22.5,"10.30 pm"
7.5,"07.30 am",20,"08.00 pm"
0,"12 am",23.99,"11.59 pm"
0,"12 am",23.99,"11.59 pm"
0,"12am",23.99,"11.59 pm"
6,"6 am",11,"11 am"
6,"6 am",10,"10am"
6,"6 am",11,"11 am"
7,"7 am",23,"11 pm"
6,"6 am",23,"11 pm"
7,"7 am",22,"10 pm"
6,"6 am",22,"10 pm"
1,"01 am",11,"11 am"
0,"12 am",10,"10 am"
0,"12 am",11,"11 am"
5,"5 am",11,"11 am"
7,"7 am",22,"10 pm"
22,"10 pm",11,"11 am"
6,"6 am",11,"11 am"
6,"6am",11,"11 am"
6,"6 am",11,"11 am"
0,"12 a.m",10,"10 a.m"
NA,"NA",NA,"NA"
7,"7 am",22.5,"10.30 pm"
6,"6 am",22,"10 pm"
8,"8 am",22,"10 pm"
7.5,"7.30am",22.5,"10.30pm"
8,"8.00am",21.5,"9.30pm"
7,"7.00am",22.5,"10.30pm"
6,"6.00am",21,"9.00pm"
8,"8.00am",23,"11.00pm"
7,"7.00am",23,"11.00pm"
7.5,"7:30am",14.5,"2:30pm"
8.5,"8:30 am",14.5,"2:30pm"
7.5,"7:30am",14.5,"2:30pm"
7,"7am",21,"9pm"
7.5,"7:30am",20.5,"8:30pm"
6.5,"6:30 am",21.5,"9:30pm"
8.5,"8:30am",21.5,"9:30pm"
7.5,"7:30 am",21.5,"9:30 pm"
7.5,"7:30am",21.5,"9:30pm"
7.5,"7:30am",21.5,"9:30 pm"
7.5,"7:30 am",21.5,"9:30pm"
8.5,"8:30am",21.5,"9:30pm"
7.5,"7:30am",20.5,"8:30 pm"
7.5,"7:30am",21.5,"9:30pm"
7.5,"7:30 am",21.5,"9:30 pm"
7,"7am",23,"11pm"
7,"7am",22,"10pm"
6.5,"6:30 am",22,"10pm"
7,"7am",22,"10pm"
7,"7 am",20,"8 pm"
6.5,"6:30 am",22,"10 pm"
7.5,"7:30 am",21.5,"9:30 pm"
7,"7.00am",21,"9.00pm"
8.5,"8.30am",20.5,"8.30pm"
6,"6.00am",21,"9.00pm"
7,"7.00am",21.5,"9.30pm"
6,"6.00am",21,"9.00pm"
7,"7.00am",22,"10.00pm"
7.5,"7.30am",20.5,"8.30pm"
8,"8.00am",20,"8.00pm"
7.5,"7.30am",20,"8.00pm"
7,"7.00am",20,"8.00pm"
7.5,"7.30am",20,"8.00pm"
9.5,"9.30am",20,"8.00pm"
7.5,"7.30am",20,"8.00pm"
7,"7.00am",23.5,"11.30pm"
8,"8.00am",21,"9.00pm"
9,"9.00am",21,"9.00pm"
9,"9.00am",22,"10.00pm"
8.5,"8.30am",21,"9.00pm"
8,"8.00am",21,"9.00pm"
8,"8.00am",21.5,"9.30pm"
7,"7.00am",21.5,"9.30pm"
8,"8.00am",21,"9.00pm"
8,"8 a.m",21,"9 p.m"
8,"8 a.m",22,"10 p.m"
7,"7 a.m",22,"10 p.m"
8,"8 a.m",21,"9 p.m"
6.5,"6.30 a.m",22,"10 p.m"
7,"7 a.m",22,"10 p.m"
8,"08:00 am",22,"10:00 pm"
8,"08:00 am",22,"10:00 pm"
6,"06:00 am",22,"10:00 pm"
7.5,"07:30 am",22.5,"10:30 pm"
7,"07:00 am",23,"11:00 pm"
8,"08:00 am",22,"10:00 pm"
8.5,"08.30 am",22,"10.00 pm"
8.5,"08.30 am",21,"09.00 pm"
8.5,"08.30 am",21,"09.00 pm"
8,"08.00 am",21,"09.00 pm"
7,"07.00 am",21,"09.00 pm"
8,"08.00 am",20,"08.00 pm"
7,"07.00 am",21,"09.00 pm"
7,"07.00 am",20,"08.00 pm"
8,"08.00 am",21,"09.00 pm"
8,"08.00 am",20,"08.00 pm"
7,"07.00 am",20,"08.00 pm"
7,"07.00 am",21.5,"09.30 pm"
7,"07.00 am",21,"09.00 pm"
7,"07.00 am",22,"10.00 pm"
7,"07.00 am",21,"09.00 pm"
7,"07.00 am",21,"09.00 pm"
7,"07.00 am",21,"09.00 pm"
7,"07.00 am",21,"09.00 pm"
7,"07.00 am",21,"09.00 pm"
7,"07.00 am",21,"09.00 pm"
8,"08.00 am",21,"09.00 pm"
7,"07.00 am",21,"09.00 pm"
7,"07.00 am",21,"09.00 pm"
7,"07.00 am",21,"09.00 pm"
8,"08:00 am",21,"09:00 pm"
8,"08:00 am",21,"09:00 pm"
8,"08:00 am",21,"09:00 pm"
8,"08:00 am",21,"09:00 pm"
8,"08:00 am",22,"10:00 pm"
7,"07:00 am",23,"11:00 pm"
8,"08:00 am",21,"09:00 pm"
8,"08:00 am",22,"10:00 pm"
8,"8.00am",21.5,"9.30pm"
8,"08.00 am",21,"09.00 pm"
8,"8.00am",21.5,"9.30pm"
8,"08.00 am",20,"08.00 pm"
8,"08.00 am",20,"08.00 pm"
8,"08.00 am",20,"08.00 pm"
8,"08.00 am",20,"08.00 pm"
7,"07.00 am",21,"09.00 pm"
8,"08.00 am",21,"09.00 pm"
6,"06.00 am",21,"09.00 pm"
7,"07.00 am",21,"09.00 pm"
7,"07.00 am",21,"09.00 pm"
7,"07.00 am",21,"09.00 pm"
7.5,"7.30am",21.5,"9.30pm"
9,"9.00 am",21.5,"9.30 pm"
9,"9.00 am",20,"8.00 pm"
8,"8.00 am",21,"9.00 pm"
8,"8.00 am",22,"10.00 pm"
8,"8.00 am",23,"11.00 pm"
7,"7.00 am",23,"11.00 pm"
7,"7.00 am",22,"10.00 pm"
7,"7.00 am",23,"11.00 pm"
6.5,"6.30 am",23,"11.00 pm"
7,"7.00 am",23,"11.00 pm"
5,"5.00am",23,"11.00 pm"
7,"7.00 am",22,"10.00 pm"
9,"9.00 am",23,"11.00 pm"
7,"7.00 am",0,"12.00 am"
8,"8.00 am",23,"11.00 pm"
7,"7.00 am",21,"9.00 pm"
0,"12.00 am",23.99,"11.59 pm"
7,"7.00 am",22,"10.00 pm"
0,"12.00 am",23.99,"11.59 pm"
0,"12.00 am",10,"10.00 am"
0,"12.00 am",10,"10.00 am"
0,"12.00 am",22.5,"10.30 pm"
7,"7.00 am",22,"10.00 pm"
7,"7.00 am",21.5,"9.30 pm"
7.5,"7.30 am",21.5,"9.30 pm"
8,"8.00 am",21,"9.00 pm"
7,"7.00 am",23,"11.00 pm"
8,"8.00 am",21,"9.00 pm"
5,"5 am",22,"10 pm"
7,"7.00 am",22,"10.00 pm"
6,"6 am",10,"10 am"
5,"5 am",10,"10 am"
6,"6 am",23,"11 pm"
6,"6 am",23,"11 pm"
7,"7.00 am",22.5,"10.30 pm"
6,"6 am",10,"10 am"
6,"6.00 am",22,"10.00 pm"
6,"6.00 am",23,"11.00 pm"
8,"8.00 am",23,"11.00 pm"
6,"6 am",11,"11 am"
8,"8.00 am",23,"11.00 pm"
5,"5 am",9,"9 am"
7,"7.00 am",23.5,"11.30 pm"
6,"6 am",10,"10 am"
8,"8.00 am",22,"10.00 pm"
7,"7.00 am",23,"11.00 pm"
8,"8 am",23,"11 pm"
8,"8.00 am",22,"10.00 pm"
5,"5 am",9,"9 am"
7,"7.00 am",21,"9.00 pm"
7,"7.00 am",11,"11.00 am"
7,"7 am",22.5,"10.30 pm"
8,"8.00 am",12,"12.00 pm"
7,"7 am",22,"10 pm"
7,"7.00 am",23,"11.00 pm"
4,"4 am",23.5,"11.30 pm"
7,"7.00 am",22,"10.00 pm"
7,"7.00 am",22.5,"10.30 pm"
7,"7 am",23,"11 pm"
7,"7.00 am",22,"10.00 pm"
7,"7.00 am",22,"10.00 pm"
5,"5 am",12,"12 pm"
7,"7.00 am",22.5,"10.30 pm"
8,"8.00 am",23,"11.00 pm"
7,"7 am",20,"8 pm"
6,"6.00 am",9,"9.00 am"
5,"5 am",9,"9 am"
6,"6.00 am",23,"11.00 pm"
8,"8 am",10,"10 am"
6,"6.00 am",23,"11.00 pm"
8,"8 am",21,"9 pm"
6,"6.00 am",11,"11.00 am"
6,"6.00 am",10,"10.00 am"
6,"6 am",22,"10 pm"
7,"7.00 am",21,"9.00 pm"
6,"6.00 am",9,"9.00 am"
8,"8 am",23,"11 pm"
7,"7.00 am",8,"8.00 am"
8,"8 am",22,"10 pm"
