start_time,stop_time
6.30 am,9.00 pm
7.00 am,9.00 pm
7.00 am,11.00 pm
7.00 am,11.00 pm
7.00 am,8.00 pm
7.00 am,9.00 pm
7.00 am,10.00 pm
7.00 am,8.00 pm
7.00 am,8.00 pm
7.00 am,8.00 pm
7.00 am,8.00 pm
7.00 am,8.00 pm
7.30 am,8.00 pm
7.00 am,8.00 pm
7.00 am,8.00 pm
8.30 am,11 pm
8.30 am,11.00 pm
7.30am,8.00 pm
6.00 am,8.00 pm
6.00 am,8.00 pm
6.00am,8.00 pm
6.00 am,11 pm
6.00 am,8.00 pm
11.30 p.m,8.30 a.m
11 p.m,8 a.m
8.00 am,10.00 pm
6.30 am,10.00 pm
7.30 am,9.30 pm
7.00 am,9.30 pm
8.30 am,9.30 pm
8.30 am,9.00pm
8.30 am,9.30 pm
7.30 am,9.30 pm
7.30 qm,9.30 pm
8.30 am,9.00 pm
8.30 am,9.30 pm
8.30 am,9.30 pm
11.00 pm,8.00 am
10.00 pm,9.00 am
10.00 pm,8.00 am
12.00 am,9.00 am
10.00 pm,8.00 am
10.00pm,8.00 am
5.00 am,10.00 am
5.30 am,8.00 am
5.00 am,10.00 am
5.00 am,11.00 am
5.00 am,11.00 am
5.00 am,10.00 pm
6.00 am,11.00 pm
5.00 am,10.00 am
5.00 am,11.00 am
5.00am,11.00 am
5.00 am,11.00 am
5.00am,11.00 am
9.30 pm,7.00 am
10.00pm,6.00am
9.30pm,6.00 am
10.00 pm,6.30 am
10.00 pm,6.00 am
11.00 pm,7.00 am
10.00 pm,6.00 am
4.00 am,10.30 am
12.00 am,7.00 am
5.00 am,11.00 am
10.00 pm,11.00 am
4.00 am,9.00 am
12.00 am,8.00 am
1.00 am,8.30 am
12.00 am,8.00 am
6.30 am,10.30 pm
07.30 am,08.00 pm
12 am,11.59 pm
12 am,11.59 pm
12am,11.59 pm
6 am,11 am
6 am,10am
6 am,11 am
7 am,11 pm
6 am,11 pm
7 am,10 pm
6 am,10 pm
01 am,11 am
12 am,10 am
12 am,11 am
5 am,11 am
7 am,10 pm
10 pm,11 am
6 am,11 am
6am,11 am
6 am,11 am
12 a.m,10 a.m
7 am,10.30 pm
6 am,10 pm
8 am,10 pm
7.30am,10.30pm
8.00am,9.30pm
7.00am,10.30pm
6.00am,9.00pm
8.00am,11.00pm
7.00am,11.00pm
