start_time,stop_time,diff_time
06:30,21:00,0 days 14:30:00
07:00,21:00,0 days 14:00:00
07:00,23:00,0 days 16:00:00
07:00,23:00,0 days 16:00:00
07:00,20:00,0 days 13:00:00
07:00,21:00,0 days 14:00:00
07:00,22:00,0 days 15:00:00
07:00,20:00,0 days 13:00:00
07:00,20:00,0 days 13:00:00
07:00,20:00,0 days 13:00:00
07:00,20:00,0 days 13:00:00
07:00,20:00,0 days 13:00:00
07:30,20:00,0 days 12:30:00
07:00,20:00,0 days 13:00:00
07:00,20:00,0 days 13:00:00
08:30,23:00,0 days 14:30:00
08:30,23:00,0 days 14:30:00
07:30,20:00,0 days 12:30:00
06:00,20:00,0 days 14:00:00
06:00,20:00,0 days 14:00:00
06:00,20:00,0 days 14:00:00
06:00,23:00,0 days 17:00:00
06:00,20:00,0 days 14:00:00
23:30,08:30,-1 days +09:00:00
23:00,08:00,-1 days +09:00:00
08:00,22:00,0 days 14:00:00
06:30,22:00,0 days 15:30:00
07:30,21:30,0 days 14:00:00
07:00,21:30,0 days 14:30:00
08:30,21:30,0 days 13:00:00
08:30,21:00,0 days 12:30:00
08:30,21:30,0 days 13:00:00
07:30,21:30,0 days 14:00:00
08:30,21:00,0 days 12:30:00
08:30,21:30,0 days 13:00:00
08:30,21:30,0 days 13:00:00
23:00,08:00,-1 days +09:00:00
22:00,09:00,-1 days +11:00:00
22:00,08:00,-1 days +10:00:00
00:00,09:00,0 days 09:00:00
22:00,08:00,-1 days +10:00:00
22:00,08:00,-1 days +10:00:00
05:00,10:00,0 days 05:00:00
05:30,08:00,0 days 02:30:00
05:00,10:00,0 days 05:00:00
05:00,11:00,0 days 06:00:00
05:00,11:00,0 days 06:00:00
05:00,22:00,0 days 17:00:00
06:00,23:00,0 days 17:00:00
05:00,10:00,0 days 05:00:00
05:00,11:00,0 days 06:00:00
05:00,11:00,0 days 06:00:00
05:00,11:00,0 days 06:00:00
05:00,11:00,0 days 06:00:00
21:30,07:00,-1 days +09:30:00
22:00,06:00,-1 days +08:00:00
21:30,06:00,-1 days +08:30:00
22:00,06:30,-1 days +08:30:00
22:00,06:00,-1 days +08:00:00
23:00,07:00,-1 days +08:00:00
22:00,06:00,-1 days +08:00:00
04:00,10:30,0 days 06:30:00
00:00,07:00,0 days 07:00:00
05:00,11:00,0 days 06:00:00
22:00,11:00,-1 days +13:00:00
04:00,09:00,0 days 05:00:00
00:00,08:00,0 days 08:00:00
01:00,08:30,0 days 07:30:00
00:00,08:00,0 days 08:00:00
06:30,22:30,0 days 16:00:00
07:30,20:00,0 days 12:30:00
00:00,23:59,0 days 23:59:00
00:00,23:59,0 days 23:59:00
00:00,23:59,0 days 23:59:00
06:00,11:00,0 days 05:00:00
06:00,10:00,0 days 04:00:00
06:00,11:00,0 days 05:00:00
07:00,23:00,0 days 16:00:00
06:00,23:00,0 days 17:00:00
07:00,22:00,0 days 15:00:00
06:00,22:00,0 days 16:00:00
01:00,11:00,0 days 10:00:00
00:00,10:00,0 days 10:00:00
00:00,11:00,0 days 11:00:00
05:00,11:00,0 days 06:00:00
07:00,22:00,0 days 15:00:00
22:00,11:00,-1 days +13:00:00
06:00,11:00,0 days 05:00:00
06:00,11:00,0 days 05:00:00
06:00,11:00,0 days 05:00:00
00:00,10:00,0 days 10:00:00
07:00,22:30,0 days 15:30:00
06:00,22:00,0 days 16:00:00
08:00,22:00,0 days 14:00:00
07:30,22:30,0 days 15:00:00
08:00,21:30,0 days 13:30:00
07:00,22:30,0 days 15:30:00
06:00,21:00,0 days 15:00:00
08:00,23:00,0 days 15:00:00
07:00,23:00,0 days 16:00:00
07:30,14:30,0 days 07:00:00
08:30,14:30,0 days 06:00:00
07:30,14:30,0 days 07:00:00
07:00,21:00,0 days 14:00:00
07:30,20:30,0 days 13:00:00
06:30,21:30,0 days 15:00:00
08:30,21:30,0 days 13:00:00
07:30,21:30,0 days 14:00:00
07:30,21:30,0 days 14:00:00
07:30,21:30,0 days 14:00:00
07:30,21:30,0 days 14:00:00
08:30,21:30,0 days 13:00:00
07:30,20:30,0 days 13:00:00
07:30,21:30,0 days 14:00:00
07:30,21:30,0 days 14:00:00
07:00,23:00,0 days 16:00:00
07:00,22:00,0 days 15:00:00
06:30,22:00,0 days 15:30:00
07:00,22:00,0 days 15:00:00
07:00,20:00,0 days 13:00:00
06:30,22:00,0 days 15:30:00
07:30,21:30,0 days 14:00:00
07:00,21:00,0 days 14:00:00
08:30,20:30,0 days 12:00:00
06:00,21:00,0 days 15:00:00
07:00,21:30,0 days 14:30:00
06:00,21:00,0 days 15:00:00
07:00,22:00,0 days 15:00:00
07:30,20:30,0 days 13:00:00
08:00,20:00,0 days 12:00:00
07:30,20:00,0 days 12:30:00
07:00,20:00,0 days 13:00:00
07:30,20:00,0 days 12:30:00
09:30,20:00,0 days 10:30:00
07:30,20:00,0 days 12:30:00
07:00,23:30,0 days 16:30:00
08:00,21:00,0 days 13:00:00
09:00,21:00,0 days 12:00:00
09:00,22:00,0 days 13:00:00
08:30,21:00,0 days 12:30:00
08:00,21:00,0 days 13:00:00
08:00,21:30,0 days 13:30:00
07:00,21:30,0 days 14:30:00
08:00,21:00,0 days 13:00:00
08:00,21:00,0 days 13:00:00
08:00,22:00,0 days 14:00:00
07:00,22:00,0 days 15:00:00
08:00,21:00,0 days 13:00:00
06:30,22:00,0 days 15:30:00
07:00,22:00,0 days 15:00:00
08:00,22:00,0 days 14:00:00
08:00,22:00,0 days 14:00:00
06:00,22:00,0 days 16:00:00
07:30,22:30,0 days 15:00:00
07:00,23:00,0 days 16:00:00
08:00,22:00,0 days 14:00:00
08:30,22:00,0 days 13:30:00
08:30,21:00,0 days 12:30:00
08:30,21:00,0 days 12:30:00
08:00,21:00,0 days 13:00:00
07:00,21:00,0 days 14:00:00
08:00,20:00,0 days 12:00:00
07:00,21:00,0 days 14:00:00
07:00,20:00,0 days 13:00:00
08:00,21:00,0 days 13:00:00
08:00,20:00,0 days 12:00:00
07:00,20:00,0 days 13:00:00
07:00,21:30,0 days 14:30:00
07:00,21:00,0 days 14:00:00
07:00,22:00,0 days 15:00:00
07:00,21:00,0 days 14:00:00
07:00,21:00,0 days 14:00:00
07:00,21:00,0 days 14:00:00
07:00,21:00,0 days 14:00:00
07:00,21:00,0 days 14:00:00
07:00,21:00,0 days 14:00:00
08:00,21:00,0 days 13:00:00
07:00,21:00,0 days 14:00:00
07:00,21:00,0 days 14:00:00
07:00,21:00,0 days 14:00:00
08:00,21:00,0 days 13:00:00
08:00,21:00,0 days 13:00:00
08:00,21:00,0 days 13:00:00
08:00,21:00,0 days 13:00:00
08:00,22:00,0 days 14:00:00
07:00,23:00,0 days 16:00:00
08:00,21:00,0 days 13:00:00
08:00,22:00,0 days 14:00:00
08:00,21:30,0 days 13:30:00
08:00,21:00,0 days 13:00:00
08:00,21:30,0 days 13:30:00
08:00,20:00,0 days 12:00:00
08:00,20:00,0 days 12:00:00
08:00,20:00,0 days 12:00:00
08:00,20:00,0 days 12:00:00
07:00,21:00,0 days 14:00:00
08:00,21:00,0 days 13:00:00
06:00,21:00,0 days 15:00:00
07:00,21:00,0 days 14:00:00
07:00,21:00,0 days 14:00:00
07:00,21:00,0 days 14:00:00
07:30,21:30,0 days 14:00:00
09:00,21:30,0 days 12:30:00
09:00,20:00,0 days 11:00:00
08:00,21:00,0 days 13:00:00
08:00,22:00,0 days 14:00:00
08:00,23:00,0 days 15:00:00
07:00,23:00,0 days 16:00:00
07:00,22:00,0 days 15:00:00
07:00,23:00,0 days 16:00:00
06:30,23:00,0 days 16:30:00
07:00,23:00,0 days 16:00:00
05:00,23:00,0 days 18:00:00
07:00,22:00,0 days 15:00:00
09:00,23:00,0 days 14:00:00
07:00,00:00,-1 days +17:00:00
08:00,23:00,0 days 15:00:00
07:00,21:00,0 days 14:00:00
00:00,23:59,0 days 23:59:00
07:00,22:00,0 days 15:00:00
00:00,23:59,0 days 23:59:00
00:00,10:00,0 days 10:00:00
00:00,10:00,0 days 10:00:00
00:00,22:30,0 days 22:30:00
07:00,22:00,0 days 15:00:00
07:00,21:30,0 days 14:30:00
07:30,21:30,0 days 14:00:00
08:00,21:00,0 days 13:00:00
07:00,23:00,0 days 16:00:00
08:00,21:00,0 days 13:00:00
05:00,22:00,0 days 17:00:00
07:00,22:00,0 days 15:00:00
06:00,10:00,0 days 04:00:00
05:00,10:00,0 days 05:00:00
06:00,23:00,0 days 17:00:00
06:00,23:00,0 days 17:00:00
07:00,22:30,0 days 15:30:00
06:00,10:00,0 days 04:00:00
06:00,22:00,0 days 16:00:00
06:00,23:00,0 days 17:00:00
08:00,23:00,0 days 15:00:00
06:00,11:00,0 days 05:00:00
08:00,23:00,0 days 15:00:00
05:00,09:00,0 days 04:00:00
07:00,23:30,0 days 16:30:00
06:00,10:00,0 days 04:00:00
08:00,22:00,0 days 14:00:00
07:00,23:00,0 days 16:00:00
08:00,23:00,0 days 15:00:00
08:00,22:00,0 days 14:00:00
05:00,09:00,0 days 04:00:00
07:00,21:00,0 days 14:00:00
07:00,11:00,0 days 04:00:00
07:00,22:30,0 days 15:30:00
08:00,12:00,0 days 04:00:00
07:00,22:00,0 days 15:00:00
07:00,23:00,0 days 16:00:00
04:00,23:30,0 days 19:30:00
07:00,22:00,0 days 15:00:00
07:00,22:30,0 days 15:30:00
07:00,23:00,0 days 16:00:00
07:00,22:00,0 days 15:00:00
07:00,22:00,0 days 15:00:00
05:00,12:00,0 days 07:00:00
07:00,22:30,0 days 15:30:00
08:00,23:00,0 days 15:00:00
07:00,20:00,0 days 13:00:00
06:00,09:00,0 days 03:00:00
05:00,09:00,0 days 04:00:00
06:00,23:00,0 days 17:00:00
08:00,10:00,0 days 02:00:00
06:00,23:00,0 days 17:00:00
08:00,21:00,0 days 13:00:00
06:00,11:00,0 days 05:00:00
06:00,10:00,0 days 04:00:00
06:00,22:00,0 days 16:00:00
07:00,21:00,0 days 14:00:00
06:00,09:00,0 days 03:00:00
08:00,23:00,0 days 15:00:00
07:00,08:00,0 days 01:00:00
08:00,22:00,0 days 14:00:00
07:00,22:00,0 days 15:00:00
08:00,08:00,0 days 00:00:00
07:00,22:00,0 days 15:00:00
10:00,10:00,0 days 00:00:00
06:00,22:00,0 days 16:00:00
07:30,22:00,0 days 14:30:00
08:00,22:00,0 days 14:00:00
08:00,21:30,0 days 13:30:00
07:00,20:00,0 days 13:00:00
07:00,22:00,0 days 15:00:00
05:00,22:00,0 days 17:00:00
07:00,22:00,0 days 15:00:00
06:00,10:00,0 days 04:00:00
07:00,22:00,0 days 15:00:00
07:00,10:00,0 days 03:00:00
08:00,22:00,0 days 14:00:00
08:00,21:00,0 days 13:00:00
08:00,22:00,0 days 14:00:00
07:00,22:00,0 days 15:00:00
06:00,09:00,0 days 03:00:00
08:00,21:00,0 days 13:00:00
08:00,22:00,0 days 14:00:00
07:00,11:00,0 days 04:00:00
07:00,20:00,0 days 13:00:00
06:00,10:00,0 days 04:00:00
08:00,08:00,0 days 00:00:00
07:00,22:00,0 days 15:00:00
08:00,21:00,0 days 13:00:00
05:00,10:00,0 days 05:00:00
07:00,22:00,0 days 15:00:00
05:00,10:00,0 days 05:00:00
06:00,10:00,0 days 04:00:00
06:00,23:00,0 days 17:00:00
06:00,21:00,0 days 15:00:00
00:00,23:59,0 days 23:59:00
08:00,22:00,0 days 14:00:00
